Id,SalePrice
1461,124390.0
1462,153315.0
1463,202914.0
1464,175000.0
1465,203800.0
1466,188600.0
1467,184930.0
1468,177850.0
1469,194113.1
1470,127955.0
1471,202397.8
1472,97550.0
1473,102690.0
1474,156910.0
1475,135205.0
1476,347389.2
1477,267563.6
1478,313551.6
1479,249295.8
1480,450172.4
1481,285753.2
1482,210850.0
1483,168674.1
1484,173113.5
1485,168149.0
1486,204960.0
1487,292840.0
1488,251008.3
1489,205068.0
1490,186588.5
1491,187950.0
1492,90165.0
1493,167590.0
1494,333081.9
1495,285000.0
1496,223429.0
1497,193250.0
1498,153220.4
1499,150455.2
1500,138243.3
1501,173800.0
1502,168816.5
1503,273385.0
1504,216185.6
1505,197775.0
1506,193090.0
1507,244112.4
1508,202550.0
1509,157535.0
1510,159375.0
1511,167933.7
1512,166688.5
1513,162950.0
1514,177400.0
1515,207187.0
1516,172540.0
1517,159940.0
1518,156499.1
1519,222399.0
1520,141525.0
1521,153225.0
1522,166100.0
1523,120997.5
1524,124867.6
1525,131126.0
1526,130665.0
1527,114787.1
1528,131240.0
1529,145600.0
1530,168380.0
1531,138050.0
1532,101550.0
1533,132100.0
1534,110720.0
1535,141410.0
1536,115990.0
1537,82474.3
1538,174880.0
1539,271271.3
1540,123530.0
1541,162100.0
1542,170390.0
1543,224880.0
1544,65571.1
1545,97440.0
1546,123530.0
1547,145200.0
1548,147888.4
1549,116657.6
1550,144403.2
1551,116880.0
1552,169545.0
1553,146150.0
1554,103200.4
1555,180740.0
1556,96800.0
1557,159250.0
1558,98800.0
1559,127200.0
1560,130750.0
1561,168290.0
1562,127413.3
1563,124530.0
1564,170265.0
1565,182850.0
1566,254347.8
1567,65395.4
1568,209650.0
1569,162760.8
1570,127490.0
1571,138490.0
1572,147825.0
1573,238057.0
1574,126355.0
1575,224878.0
1576,213080.0
1577,206772.0
1578,165850.0
1579,144050.0
1580,192957.0
1581,142660.0
1582,124680.0
1583,349730.0
1584,218800.0
1585,134040.0
1586,73502.2
1587,117777.6
1588,159875.0
1589,96227.6
1590,126840.0
1591,107145.0
1592,125275.4
1593,116530.0
1594,160200.0
1595,121340.0
1596,230950.0
1597,193486.4
1598,174104.1
1599,199195.6
1600,202010.0
1601,86111.1
1602,117150.0
1603,120760.0
1604,265900.0
1605,248720.0
